,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
1208,1208,63000,臺北市,63000050,中正區,63000050-008,板溪里,1577,3202,1480,1722,85.95,2.03,34984.98,50.61,14.3,36.31,253.95,304,231,946,949,772,111Y09M
1209,1209,63000,臺北市,63000050,中正區,63000050-009,螢圃里,2473,5171,2468,2703,91.31,2.09,46313.13,46.95,12.7,34.24,269.57,447,436,1465,1618,1205,111Y09M
1210,1210,63000,臺北市,63000050,中正區,63000050-010,螢雪里,1772,3962,1891,2071,91.31,2.24,16447.75,48.95,13.5,35.45,262.67,359,294,1171,1195,943,111Y09M
1211,1211,63000,臺北市,63000050,中正區,63000050-011,永功里,2586,5994,2917,3077,94.8,2.32,42521.49,48.51,18.58,29.93,161.07,750,593,1644,1799,1208,111Y09M
1212,1212,63000,臺北市,63000050,中正區,63000050-012,永昌里,1969,4456,2164,2292,94.42,2.26,47193.39,49.48,12.95,36.53,282.12,386,385,1210,1386,1089,111Y09M
1213,1213,63000,臺北市,63000050,中正區,63000050-013,龍興里,1471,3694,1731,1963,88.18,2.51,39415.7,61.45,36.54,24.91,68.18,836,276,1066,946,570,111Y09M
1214,1214,63000,臺北市,63000050,中正區,63000050-014,忠勤里,2887,5798,2764,3034,91.1,2.01,58113.08,39.91,8.74,31.18,356.91,362,503,1599,2042,1292,111Y09M
1215,1215,63000,臺北市,63000050,中正區,63000050-015,廈安里,1884,4733,2238,2495,89.7,2.51,57447.69,67.13,40.89,26.24,64.16,1158,391,1317,1124,743,111Y09M
1216,1216,63000,臺北市,63000050,中正區,63000050-016,愛國里,1389,3363,1549,1814,85.39,2.42,41570.35,66.73,37.68,29.05,77.11,760,285,853,879,586,111Y09M
1217,1217,63000,臺北市,63000050,中正區,63000050-017,南門里,1061,2681,1260,1421,88.67,2.53,8352.55,69.9,34.6,35.3,102.01,546,242,644,692,557,111Y09M
1218,1218,63000,臺北市,63000050,中正區,63000050-018,龍光里,1303,3359,1648,1711,96.32,2.58,20884.63,66.2,36.62,29.59,80.81,740,308,878,835,598,111Y09M
1219,1219,63000,臺北市,63000050,中正區,63000050-019,南福里,4778,11683,5639,6044,93.3,2.45,48477.38,58.69,35.41,23.28,65.75,2607,1131,2951,3280,1714,111Y09M
1220,1220,63000,臺北市,63000050,中正區,63000050-020,龍福里,2170,5274,2487,2787,89.24,2.43,24226.11,61.83,35.07,26.76,76.29,1143,447,1465,1347,872,111Y09M
1221,1221,63000,臺北市,63000050,中正區,63000050-021,新營里,3401,9102,4426,4676,94.65,2.68,58289.36,64.68,41.72,22.96,55.03,2306,838,2334,2355,1269,111Y09M
1222,1222,63000,臺北市,63000050,中正區,63000050-022,建國里,770,1792,816,976,83.61,2.33,2991.42,66.08,45.51,20.57,45.21,491,180,469,430,222,111Y09M
