,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
475,475,65000,新北市,65000050,新莊區,65000050-076,立廷里,5186,13233,6234,6999,89.07,2.55,46518.58,38.43,26.79,11.64,43.46,2561,1477,4074,4008,1113,111Y09M
476,476,65000,新北市,65000050,新莊區,65000050-077,泰豐里,1064,2563,1247,1316,94.76,2.41,13403.62,38.92,16.64,22.28,133.88,307,248,748,849,411,111Y09M
477,477,65000,新北市,65000050,新莊區,65000050-078,富民里,1518,3902,1878,2024,92.79,2.57,61678.05,29.94,14.15,15.78,111.53,425,388,1372,1243,474,111Y09M
478,478,65000,新北市,65000050,新莊區,65000050-079,龍福里,862,2252,1076,1176,91.5,2.61,51649.01,28.76,14.47,14.29,98.81,253,287,694,768,250,111Y09M
479,479,65000,新北市,65000050,新莊區,65000050-080,祥鳳里,935,2535,1241,1294,95.9,2.71,74933.49,38.15,19.46,18.69,96.08,357,269,814,752,343,111Y09M
480,480,65000,新北市,65000050,新莊區,65000050-081,民全里,1372,3812,1891,1921,98.44,2.78,37975.31,34.32,17.41,16.91,97.17,494,405,1312,1121,480,111Y09M
481,481,65000,新北市,65000050,新莊區,65000050-082,民有里,1576,4077,1935,2142,90.34,2.59,102749.57,31.47,15.0,16.48,109.89,465,480,1381,1240,511,111Y09M
482,482,65000,新北市,65000050,新莊區,65000050-083,光正里,1614,4713,2315,2398,96.54,2.92,71785.42,37.41,22.65,14.75,65.12,777,585,1496,1349,506,111Y09M
483,483,65000,新北市,65000050,新莊區,65000050-084,光和里,972,2852,1383,1469,94.15,2.93,73803.79,37.64,20.08,17.57,87.5,416,269,1011,792,364,111Y09M
484,484,65000,新北市,65000060,新店區,65000060-001,國豐里,1351,3035,1406,1629,86.31,2.25,36459.08,51.22,12.41,38.81,312.85,249,242,819,946,779,111Y09M
485,485,65000,新北市,65000060,新店區,65000060-002,明德里,1781,3884,1854,2030,91.33,2.18,37180.27,46.29,12.47,33.82,271.3,331,334,1074,1247,898,111Y09M
486,486,65000,新北市,65000060,新店區,65000060-003,大豐里,1577,3522,1649,1873,88.04,2.23,33986.3,50.58,13.77,36.81,267.39,322,279,968,1092,861,111Y09M
487,487,65000,新北市,65000060,新店區,65000060-004,大同里,1732,3745,1815,1930,94.04,2.16,42314.47,47.32,10.9,36.43,334.3,277,320,1013,1209,926,111Y09M
488,488,65000,新北市,65000060,新店區,65000060-005,江陵里,2336,5315,2493,2822,88.34,2.28,33376.03,44.08,11.22,32.85,292.75,414,504,1416,1769,1212,111Y09M
